"yr","away","home","pts.away","pts.home","home.win","net.a","net.h","dif"
2013,"POR","DAL",99,105,TRUE,-3.40000000000001,-0.599999999999994,2.80000000000001
2013,"BRK","DET",93,90,FALSE,2,-4.3,-6.3
2013,"HOU","MIA",108,114,TRUE,3.60000000000001,8.59999999999999,4.99999999999999
2013,"SAS","MIN",104,94,FALSE,6.7,-2.5,-9.2
2013,"PHO","NOH",84,93,TRUE,-6.89999999999999,-4.39999999999999,2.5
2013,"GSW","OKC",98,119,TRUE,0.900000000000006,9.80000000000001,8.90000000000001
2013,"LAC","ORL",86,76,FALSE,7,-7.5,-14.5
2013,"IND","PHI",88,69,FALSE,4.5,-3.7,-8.2
2013,"BOS","TOR",99,95,FALSE,-0.200000000000003,-1.59999999999999,-1.39999999999999
2013,"MIL","UTA",86,100,TRUE,-1.60000000000001,-0.0999999999999943,1.50000000000001
2013,"NYK","WAS",96,106,TRUE,4.8,-2.8,-7.59999999999999
2013,"LAL","BOS",95,116,TRUE,1.2,-0.200000000000003,-1.40000000000001
2013,"CHI","DEN",96,128,TRUE,0.299999999999997,5.30000000000001,5.00000000000001
2013,"NOH","ATL",111,100,FALSE,-4.39999999999999,0.399999999999991,4.79999999999998
2013,"LAL","CHA",100,93,FALSE,1.2,-10,-11.2
2013,"ORL","CLE",108,119,TRUE,-7.5,-5.10000000000001,2.39999999999999
2013,"SAS","DET",109,119,TRUE,6.7,-4.3,-11
2013,"POR","HOU",103,118,TRUE,-3.40000000000001,3.60000000000001,7.00000000000001
2013,"TOR","IND",100,98,FALSE,-1.59999999999999,4.5,6.09999999999999
2013,"GSW","MEM",93,99,TRUE,0.900000000000006,4.60000000000001,3.7
2013,"LAC","MIA",89,111,TRUE,7,8.59999999999999,1.59999999999999
2013,"NYK","MIN",100,94,FALSE,4.8,-2.5,-7.3
2013,"PHO","OKC",96,127,TRUE,-6.89999999999999,9.80000000000001,16.7
2013,"CHI","UTA",93,89,FALSE,0.299999999999997,-0.0999999999999943,-0.399999999999991
2013,"BRK","WAS",74,89,TRUE,2,-2.8,-4.8
