"Name","Team","mp","ts","usg","Position","ortg.on","ortg.off"
"Demetrius Jackson","HOU",63,28.6,16.5,"PG",81.1,116.3
"Josh Jackson","PHO",1030,46.6,24.1,"SF",102,108.3
"Justin Jackson","SAC",593,47,15,"SF",99.8,104.3
"Reggie Jackson","DET",894,54,26.2,"PG",109.5,105.1
"LeBron James","CLE",1738,62.8,31,"PF",113.2,108
"Mike James","PHO",669,47.6,25.2,"PG",106.3,105.2
"Al Jefferson","IND",328,54.6,21.9,"C",108.7,111
"Richard Jefferson","DEN",133,48,10.2,"SF",98.1,110.4
"Jonas Jerebko","UTA",694,58.3,15.5,"PF",111.1,104.6
"Amir Johnson","PHI",648,56.8,13.7,"C",102.7,109.1
"Brice Johnson","LAC",38,67.3,18.1,"PF",122,109.7
"Dakari Johnson","OKC",127,55.9,15.4,"C",106,110.3
"James Johnson","MIA",1102,54.8,19.7,"PF",106.6,106.1
"Joe Johnson","UTA",617,48.5,17.4,"SF",99.2,109.1
"Stanley Johnson","DET",969,46.7,14.3,"SF",105.6,107.8
"Tyler Johnson","MIA",1195,54.9,18.9,"PG",107.4,105.3
"Wesley Johnson","LAC",1061,52.1,13.9,"SF",108.9,110.9
"Nikola Jokic","DEN",1318,56.8,23.4,"C",111.6,107.3
"Damian Jones","GSW",2,NA,0,"C",100,116.1
"Derrick Jones",NA,208,50.2,11,"SF",NA,NA
"Derrick Jones","PHO",33,67.8,9.8,"SF",104.2,105.6
"Derrick Jones","MIA",175,47.2,11.2,"SF",98.5,107
"Jalen Jones",NA,22,59.5,11.8,"SF",NA,NA
"Jalen Jones","NOP",19,51.2,11.3,"SF",112.5,110.5
"Jalen Jones","DAL",3,100,15.3,"SF",171.4,107
"Tyus Jones","MIN",957,57.3,12.1,"PG",114.7,113.1
"DeAndre Jordan","LAC",1378,66.9,14.4,"C",110.7,108.9
"Cory Joseph","IND",1294,52.5,14.7,"PG",109.6,111.9
"Frank Kaminsky","CHO",1038,52.2,20.7,"PF",106.7,107.9
