"away","home"
"Minnesota Timberwolves","Denver Nuggets"
"Portland Trail Blazers","Houston Rockets"
"Golden State Warriors","Indiana Pacers"
"Brooklyn Nets","Milwaukee Bucks"
"Los Angeles Clippers","Utah Jazz"
"Chicago Bulls","Boston Celtics"
"Dallas Mavericks","Detroit Pistons"
"Minnesota Timberwolves","Los Angeles Lakers"
"Sacramento Kings","Memphis Grizzlies"
"Miami Heat","New York Knicks"
"Charlotte Hornets","Orlando Magic"
"Cleveland Cavaliers","Philadelphia 76ers"
"New Orleans Pelicans","Phoenix Suns"
"Indiana Pacers","Toronto Raptors"
"Atlanta Hawks","Washington Wizards"
"Brooklyn Nets","Chicago Bulls"
"New Orleans Pelicans","Golden State Warriors"
"Oklahoma City Thunder","Houston Rockets"
"Denver Nuggets","Los Angeles Clippers"
"Milwaukee Bucks","New York Knicks"
"Portland Trail Blazers","San Antonio Spurs"
"Atlanta Hawks","Boston Celtics"
"Indiana Pacers","Charlotte Hornets"
"Utah Jazz","Los Angeles Lakers"
"Detroit Pistons","Memphis Grizzlies"
